Baden-Wurttemberg, 111
Bayern, 131
Berlin, 37
Brandenburg, 25
Bremen, 7
Hamburg, 18
Hessen, 63
Mecklenburg-Vorpommern, 16
Niedersachsen, 80
Nordrhein-Westfalen, 179
Rheinland-Pfalz, 41
Saarland, 10
Sachsen, 41
Sachsen-Anhalt, 22
Schleswig-Holstein, 29
Thuringen, 21
